	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	Day #100	
Sim #21	111.92	116.055	114.821	120.614	108.379	117.765	118.967	100.438	98.5805	113.837	131.027	105.259	124.382	107.244	113.529	128.856	110.705	115.505	115.313	113.921	116.266	106.515	117.328	104.886	109.425	110.946	113.512	106.225	116.079	122.586	116.262	108.93	111.365	114.454	119.513	116.218	120.253	117.856	109.95	109.646	109.375	119.405	116.992	109.429	111.538	121.477	115.836	109.171	124.201	113.186	117.805	112.223	117.37	112.844	120.154	119.23	122.371	108.313	105.816	105.515	127.898	109.755	114.703	111.686	107.317	114.894	121.072	121.058	109.244	111.318	114.009	122.972	126.741	100.578	114.127	114.184	118.217	124.966	111.493	113.724	121.094	119.427	103.662	104.886	105.043	113.71	120.398	136.326	113.638	111.022	114.113	127.541	118.279	108.55	117.903	113.421	117.638	120.542	118.437	119.496	
Sim #22	112.681	117.448	117.623	120.297	107.806	116.593	117.576	101.714	100.195	111.422	132.826	106.937	122.144	107.294	112.44	129.842	111.369	116.381	115.478	114.7	117.366	106.534	116.889	105.889	109.368	111.918	112.957	106.651	114.54	125.096	115.461	108.942	112.385	113.875	119.121	116.57	119.874	117.359	110.37	110.568	110.557	119.383	116.339	107.835	111.835	123.048	118.371	108.081	123.244	114.072	116.009	114.065	115.803	115.677	121.952	117.645	122.292	110.564	106.549	107.294	127.044	112.725	115.796	109.237	108.274	116.647	119.091	123.67	109.305	111.441	115.089	124.153	127.934	100.168	113.423	112.951	118.869	127.777	111.199	111.309	121.75	117.996	105.108	106.666	107.053	115.512	121.206	134.138	112.477	111.806	113.366	124.946	118.721	110.028	117.443	115.896	117.725	120.731	120.289	120.514	
Sim #23	113.142	114.97	116.308	117.887	107.596	116.176	119.631	101.54	100.379	112.998	134.517	105.671	122.951	110.105	112.582	130.409	111.109	117.35	117.782	114.801	115.378	106.166	118.004	106.189	110.816	112.054	112	105.552	114.118	124.643	115.45	111.724	113.206	111.495	119.877	118.27	118.66	117.37	111.073	110.576	109.346	121.747	114.234	107.125	111.908	123.43	119.541	109.328	124.586	114.073	115.217	114.639	114.302	118.299	122.972	118.076	120.138	111.72	108.158	108.115	127.613	112.792	115.3	109.183	107.229	117.501	120.092	124.031	111.271	110.18	113.516	125.771	129.287	99.5403	111.605	113.888	118.888	128.616	111.26	111.038	123.683	118.047	105.069	109.747	108.691	114.811	119.472	136.142	110.931	109.516	110.69	126.037	120.718	110.308	117.242	116.663	119.502	119.547	119.025	122.891	
Sim #24	112.935	116.054	116.104	118.824	106.367	115.796	120.923	101.448	100.811	112.53	134.403	104.874	123.005	107.62	113.509	131.704	110.547	118.101	114.862	116.243	113.874	105.13	120.773	106.008	110.994	111.85	113.197	101.765	116.256	129.24	116.283	111.764	115.343	114.255	120.961	119.958	120.736	118.648	109.651	108.121	107.523	120.327	114.856	106.931	112.449	125.859	123.733	109.342	125.618	112.683	116.061	114.638	114.445	116.634	123.963	117.823	120.351	109.396	109.642	105.542	128.279	113.725	115.309	110.187	108.906	114.134	120.49	125.193	113.052	110.491	111.528	123.413	130.509	97.8805	112.611	112.224	118.828	128.698	112.313	111.962	125.619	115.868	107.199	110.913	106.269	117.221	119.221	137.207	111.721	108.757	109.232	124.429	119.895	110.726	118.014	112.725	119.617	122.552	119.4	120.683	
Sim #25	111.745	115.011	117.298	118.121	105.849	116.785	118.348	100.224	100.44	110.239	134.104	105.482	123.486	107.54	113.023	130.702	112.409	119.206	115.475	117.002	112.237	105.934	123.554	107.928	109.163	111.359	114.988	102.909	115.607	128.225	116.622	112.421	114.666	112.848	120.064	121.28	123.393	115.818	108.293	107.456	106.838	119.17	113.65	107.631	113.971	126.238	122.779	107.703	123.899	112.111	115.399	117.039	112.636	115.619	125.903	117.388	119.487	109.507	110.464	105.254	129.962	116.416	115.675	110.477	109.264	113.96	119.298	124.31	114.756	111.725	111.368	125.69	133.083	98.7742	113.024	113.382	115.962	129.847	111.83	112.184	127.233	115.092	108.162	112.576	105.288	116.34	119.216	136.039	110.129	109.952	110.006	127.059	120.447	111.631	119.66	111.997	120.31	122.582	119.192	118.783	
Sim #26	112.014	117.475	118.225	118.712	106.356	116.962	121.136	100.677	100.76	110.759	132.623	103.729	122.384	106.234	116.114	135.311	113.992	119.806	115.583	116.629	115.105	106.317	126.066	106.942	108.033	111.43	114.209	105.577	118.202	129.785	117.381	112.039	114.453	112.89	119.265	120.099	120.837	115.957	108.55	107.814	105.256	120.316	111.122	106.684	113.467	125.302	120.628	107.66	124.857	110.629	117.23	119.183	112	114.522	124.896	117.813	122.418	108.063	112.396	106.09	131.447	116.269	115.536	111.247	106.538	114.864	119.192	123.874	113.443	111.709	111.357	124.607	133.388	99.693	113.882	114.353	112.595	130.862	111.505	112.594	129.942	119.333	108.208	113.108	107.339	117.439	118.506	138.64	110.366	111.742	111.527	127.164	123.68	110.32	121.946	110.978	119.937	123.976	117.885	119.13	
Sim #27	111.275	118.709	117.731	116.215	108.087	117.767	121.379	100.539	101.206	111.235	135.957	103.704	121.395	105.663	115.299	138.271	115.462	121.408	116.353	116.459	113.797	106.003	127.468	106.912	108.19	111.3	115.82	106.901	119.316	131.017	118.481	110.246	114.152	110.781	118.69	119.31	119.686	114.413	108.487	108.866	103.845	122.693	112.337	104.748	115.168	126.085	120.547	110.681	125.261	110.981	116.062	116.365	113.427	116.793	123.858	118.377	121.96	107.815	112.557	106.466	131.684	116.876	116.859	111.691	105.891	116.458	117.654	123.349	113.584	110.426	113.486	124.521	132.823	99.4122	113.611	113.957	112.878	131.232	112.532	113.941	129.909	115.259	106.949	114.543	110.052	118.29	119.01	138.046	113.046	114.611	112.696	127.171	123.737	110.005	121.556	110.295	119.744	121.812	117.899	118.219	
Sim #28	110.869	118.696	118.581	115.285	107.646	118.056	122.517	99.3443	99.9055	110.629	135.113	100.913	120.07	107.136	114.871	136.077	118.184	122.631	115.819	115.079	112.444	106.002	129.988	109.16	108.126	110.601	115.543	106.473	119.797	133.86	119.393	112.717	115.529	109.475	118.884	117.704	119.2	113.353	106.313	109.259	103.657	121.71	111.909	104.533	114.111	127.953	119.425	109.812	124.415	112.354	117.501	116.739	113.03	117.446	122.783	119.854	122.505	106.556	112.7	107.927	132.486	116.157	117.903	112.151	106.882	113.402	118.382	124.02	113.451	110.954	113.41	126.246	136.719	97.5299	113.721	113.607	111.706	134.115	112.399	113.047	128.282	114.992	106.475	111.965	110.198	117.007	120.449	140.221	113.751	113.493	112.136	126.696	123.936	110.567	121.186	112.787	120.43	119.964	116.928	119.744	
Sim #29	112.135	118.253	116.277	118.118	108.919	118.031	123.934	99.9196	100.66	111.13	133.022	99.6473	120.098	108.154	115.252	139.725	118.683	121.504	116.144	115.051	112.39	106.094	132.217	109.508	108.006	110.944	117.084	105.624	119.503	131.535	116.738	111.781	113.006	109.368	121.21	118.204	121.591	113.822	104.583	109.764	103.794	121.915	111.951	103.366	115.044	127.952	119.64	110.001	124.536	112.737	116.507	118.25	116.764	116.938	119.756	119.202	121.223	105.906	111.383	108.839	134.125	117.603	117.403	114.077	109.815	115.233	120.049	124.381	112.45	113.758	113.166	127.088	140.388	98.6693	111.352	113.926	112.993	135.645	113.202	113.671	131.603	112.254	108.566	113.256	110.237	118.915	119.35	141.318	116.663	113.92	111.694	124.653	123.489	111.922	123.197	112.216	117.711	117.207	114.921	118.883	
Sim #30	111.466	118.512	116.311	115.543	110.973	117.693	120.932	98.7615	101.917	111.823	133.429	102.091	122.343	108.312	112.967	141.364	121.538	121.815	116.161	114.638	111.704	105.82	130.643	109.068	106.843	110.813	115.536	104.593	120.616	131.356	115.43	113.299	115.425	111.306	123.239	116.922	121.175	112.763	104.254	108.495	102.872	122.526	113.415	105.631	115.908	128.92	121.289	113.069	122.927	115.472	116.659	120.48	117.051	115.254	120.844	120.184	122.323	105.655	110.917	109.538	137.257	119.807	119.881	116.509	111.422	116.583	121.172	125.004	111.85	111.858	114.258	127.794	138.352	99.0187	111.362	113.514	111.633	134.123	111.006	114.481	133.072	111.89	109.831	113.817	111.726	118.526	119.593	143.226	115.124	112.107	112.394	125.338	125.308	111.814	121.949	112.485	115.987	117.25	113.867	118.394	
