	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	
Sim #21	171.815	176.849	174.376	186.955	166.982	174.103	177.115	171.508	161.014	163.44	170.099	178.018	188.457	163.52	170.264	170.723	170.962	173.126	172.357	181.049	183.532	174.354	166.838	184.564	174.304	183.058	180.401	178.881	165.841	169.489	179.927	183.608	168.161	165.527	175.9	189.907	184.385	188.979	176.606	176.196	181.796	174.92	181.144	171.313	182.727	154.825	191.825	174.165	166.747	174.752	190.109	197.212	171.533	167.96	166.898	158.105	175.204	174.449	172.197	178.982	178.503	173.813	179.703	189.281	171.623	178.495	176.78	168.024	169.24	165.965	192.833	165.258	181.307	184.335	188.929	185.884	170.805	180.794	196.24	183.695	174.303	200.397	167.634	191.247	185.025	170.692	182.298	180.344	195.288	182.549	178.657	171.933	183.281	194.338	164.468	182.927	172.853	178.691	182.407	
Sim #22	172.931	179.285	176.775	185.243	164.75	170.851	177.295	170.619	159.223	164.045	174.02	176.751	188.101	167.823	171.25	171.636	174.617	172.252	171.063	180.666	185.024	174.634	164.28	184.602	171.426	182.474	179.68	181.815	165.617	170.328	177.296	189.299	165.98	165.189	173.225	191.415	182.472	191.26	176.115	177.188	179.573	175.572	178.937	173.468	180.931	159.287	192.491	175.449	166.759	174.907	192.943	193.556	173.333	168.5	169.144	155.921	176.636	169.811	171.67	179.648	174.173	172.978	180.645	191.606	170.679	178.202	176.069	170.093	166.316	167.907	192.584	168.415	183.924	183.864	190.675	188.612	171.969	183.255	200.279	184.589	171.298	201.201	165.525	192.946	187.183	169.833	184.199	177.063	195.52	184.831	177.354	171.093	184.25	193.724	165.279	182.42	171.427	179.685	186.692	
Sim #23	173.62	181.314	179.79	181.92	166.382	170.777	180.076	171.441	158.43	163.355	174.326	174.961	189.646	163.744	172.26	172.673	174.797	171.078	171.143	184.159	183.459	171.611	166.779	183.606	173.204	184.811	183.625	181.262	164.14	171.137	178.858	189.121	168.039	166.196	173.742	189.094	176.009	191.78	175.838	176.38	180.431	173.898	179.071	173.627	179.515	156.545	196.063	174.817	164.485	174.862	198.35	194.309	174.323	172.488	170.087	154.861	180.877	169.934	167.856	179.337	179.51	172.873	180.524	193.41	171.415	176.438	179.477	172.756	166.478	167.873	195.031	171.89	184.805	186.691	191.025	189.269	173.641	184.922	199.366	182.992	170.784	200.081	166.742	194.922	186.034	168.065	183.528	177.213	191.737	186.01	178.104	171.883	186.444	196.406	167.189	181.939	170.481	179.203	186.769	
Sim #24	173.359	177.797	183.891	182.345	166.223	171.163	181.836	169.662	157.292	162.82	175.008	172.798	189.829	162.121	171.718	176.942	173.12	171.718	170.71	185.907	185.563	166.796	170.512	183.077	176.565	185.542	186.558	179.248	164.553	173.651	178.442	190.579	170.279	167.053	173.193	192.008	177.44	194.162	176.262	177.239	181.101	173.464	176.645	175.628	180.164	157.625	199.654	176.453	166.596	174.495	201.442	199.94	176.67	173.064	168.018	154.942	180.481	173.816	169.546	181.588	179.416	175.352	182.089	196.107	171.179	177.725	177.286	174.107	164.156	168.631	194.284	172.323	182.265	186.416	184.965	193.63	175.461	180.354	203.462	182.575	169.052	197.782	166.728	196.42	188.082	168.714	185.028	177.273	195.206	183.682	179.246	172.8	185.263	198.471	167.071	184.773	174.083	178.969	188.775	
Sim #25	171.697	179.386	182.019	181.934	164.504	173.905	179.076	172.441	156.73	162.473	176.693	173.171	188.874	159.969	169.168	177.725	174.189	169.887	171.882	183.783	185.651	164.442	171.462	184.509	177.849	184.617	186.184	179.844	163.501	171.872	177.906	190.24	168.208	169.991	176.752	189.824	179.14	191.281	178.393	174.931	181.589	169.395	178.084	177.788	180.69	157.899	202.097	181.481	164.635	175.494	200.324	204.203	177.578	174.717	168.964	152.455	183.129	170.456	172.317	181.327	180.175	175.919	183.733	196.551	170.381	180.174	178.44	176.216	163.671	169.833	194.452	170.973	179.291	183.615	181.344	195.004	177.925	181.402	199.08	181.66	170.028	199.24	168.476	195.784	188.529	168.219	185.453	177.759	197.456	183.863	181.375	169.083	182.409	201.895	166.847	183.071	173.299	179.955	185.752	
Sim #26	172.112	177.923	181.756	178.586	163.73	176.851	180.293	171.768	155.012	164.337	180.668	170.458	191.869	161.63	170.36	179.113	173.423	172.814	173.54	185.073	185.582	162.838	168.439	186.548	178.448	183.362	185.918	177.793	161.308	170.514	181.767	188.618	168.897	171.975	176.903	192.275	178.69	191.486	179.971	174.468	184.358	167.186	178.134	180.203	180.976	161.45	202.206	183.267	165.633	174.298	201.575	205.95	175.114	174.074	168.638	152.069	184.553	172.249	172.945	179.816	177.148	176.936	183.458	196.68	170.501	181.012	180.267	176.382	163.088	170.384	195.841	170.907	179.308	183.42	182.613	196.068	179.807	180.94	199.783	180.187	171.352	198.765	167.953	194.134	188.157	168.307	189.196	173.771	200.12	189.002	181.039	168.386	183.31	201.814	164.496	183.633	173.718	176.217	183.172	
Sim #27	171.092	181.491	183.524	179.937	163.465	175.25	179.751	169.273	156.184	167.737	180.537	173.636	190.862	162.8	170.708	181.454	173.357	171.814	173.982	183.468	185.075	162.907	170.371	183.262	175.475	179.226	184.604	178.514	161.219	171.546	181.699	187.913	171.616	170.301	175.747	194.118	178.258	195.162	180.694	176.48	185.201	164.97	175.624	180.449	186.833	161.1	203.953	185.118	168.969	172.878	203.922	204.846	173.03	176.608	168.483	153.099	183.815	173.816	175.591	182.282	178.458	176.681	184.435	194.823	170.108	180.286	180.251	178.885	160.666	169.039	194.846	172.121	180.394	183.03	183.594	198.464	180.858	182.136	199.947	181.602	170.962	201.598	168.077	193.091	188.404	171.462	186.186	175.192	199.739	191.24	182.754	169.376	184.351	201.269	160.837	179.692	179.283	173.856	179.299	
Sim #28	170.546	183.294	184.905	178.983	161.764	174.703	177.835	166.913	154.287	171.448	181.177	173.809	190.579	160.382	171.264	182.897	176.647	171.557	176.046	184.625	186.375	163.993	170.491	182.589	176.052	182.607	185.578	176.898	161.094	170.592	183.332	190.211	172.431	171.726	174.506	192.35	181.301	194.054	179.461	177.968	184.059	161.899	174.841	180.663	185.307	159.361	204.36	185.72	170.321	175.156	204.244	203.788	174.777	177.083	166.928	151.611	187.707	171.164	177.018	181.534	180.146	175.668	186.513	195.056	174.039	181.023	178.102	174.414	161.754	166.096	192.508	172.678	176.247	180.532	185.512	197.015	182.192	179.143	199.909	182.634	170.925	207.273	166.801	194.564	188.241	170.123	186.135	175.764	200.079	190.188	184.693	171.608	182.124	198.037	162.259	177.104	179.123	175.086	179.394	
Sim #29	172.384	183.31	184.223	179.847	161.063	174.206	180.75	168.911	154.524	169.805	182.626	172.14	189.762	162.218	171.831	182.369	176.229	171.642	175.129	184.743	189.459	159.997	168.047	185.973	177.389	182.1	186.486	179.822	160.99	168.631	184.522	189.844	172.015	171.809	175.654	188.012	180.512	193.389	181.623	180.359	185.049	164.982	177.475	180.035	186.434	159.838	204.16	185.454	171.043	176.736	204.826	204.006	171.807	179.848	167.092	153.111	188.941	170.729	175.292	178.501	179.418	176.442	186.984	194.034	172.573	180.92	178.844	173.279	164.288	167.269	194.075	174.799	176.328	180.754	183.907	197.404	181.587	177.549	198.906	181.172	172.351	205.889	166.516	196.784	189.982	171.064	186.587	177.798	201.683	191.413	182.807	169.326	182.336	196.391	163.537	176.576	177.339	174.726	179.668	
Sim #30	171.463	182.71	185.491	176.37	161.81	175.619	182.595	168.674	156.899	170.299	185.935	170.396	192.205	162.332	169.905	182.502	175.46	170.971	177.756	183.124	189.586	157.253	167.647	184.52	175.559	181.79	185.041	178.859	160.037	168.341	184.718	191.467	172.273	171.589	173.53	188.624	178.777	193.312	181.762	183.185	188.45	162.959	178.11	179.284	185.835	159.251	204.565	187.159	173.739	176.423	205.886	206.894	170.121	178.676	165.107	153.08	190.026	170.346	176.067	180.612	173.91	176.554	186.055	189.975	171.775	183.153	181.146	170.711	163.426	164.011	191.35	176.645	176.458	181.616	183.106	197.638	182.444	175.27	197.878	181.988	174.659	204.69	168.679	196.724	187.139	174.899	188.599	176.314	200.748	191.985	181.386	172.458	185.042	197.141	164.743	174.998	175.818	175.399	179.484	
